text,label
Tadi gue lewat jalan yang aga rame orang jualan. Gua liat ada yg dagang baju. Dan baju itu tulisannya #gantipresiden2019 Gila mesti ga sih sampe kaya gitunya? Kadang gua bingung ya ama orang indonesia. Ga pernah ada rasa bersyukurnya,Anger
"bunga matahari biar cerah, trims",Neutral
INONG Kami putera-putrimu selalu mengingat nasehatmu. Inong.. we miss and we love you inong. Air mataku tak bisa ku tahan ternyata selasa sekarang persis lima tahun lalu kepergianmu.,Sad
like i understandd gue jg apal lagu2nya mostly krn gue gapernah absen nonton pensi festival.. and ofc not everyone grew up listening to the same songs as me tp tetep aja sedih dikit hikss,Sad
"Yaallah beri ia pacar baru, yang nerimo yang gemati yang gak pelit yang mau bayarin makan yang suka ngajak duluan yang gak rewel. Biar sakit hatinya ilang. amin",Sad
mantap tidak-bisa tolak itu sih maruk,Anger
"Tidak disemua tempat kita boleh melaksanakan sholat, salah satunya di bangunan yang didirikan untuk kekafiran (salah satunya gereja). Aku berlindung kepada ALLAAH SWT. dari godaan setan yang terkutuk",Fear
Idealnya memang KPK hrs tingkatkan status Ganjar dr saksi menjadi tersangka agar kecurigaan bhw dia di lindungi oleh kekuasaan bisa cair dan KPK pun bisa di percaya lagi.,Anger
gini kan enak,Neutral
Gatau sejak kapan tiap dengerin kucing ngeong sama anjing melolong malem2 selalu ngebayangin ada 'sesuatu' di luar -_- dan bikin gaberani bangun,Fear
"Kabar baik ku pagi ini... dpt tagihan uang kegiatan sekolah u setahun, dan pengumuman kenaikan spp... hmm ukk nya aja blm selesai  Baiklah, lebaran ga sah jajan n jalan2... dirumah sajah...",Sad
di bilang kalau sudah hatinya hitam mana ada bisa bedain putih atau hitam. yg pintar bisa mendadak bodoh kalau sudah hatinya penuhin dengan penyakit hati,Anger
"Mereka sangat kuatir dengan dukungan penuh NU kepada Presiden [USERNAME] makanya yang mereka coba utak-atik dan delegitimasi adalah istilah Islam Nusantara yang diperkenalkan dan dikembangkan NU sejak Muktamar 2015. Jadi persoalannya bukan agama, tapi politik",Anger
"kamu kenapa ? | aku (kecewa, sakit, cemburu, nyesek , kangen , galau , pengen kamu peka , pengen nangis) gak papa kok. :')",Sad
"Alhamdulillah.... Bahagia rasanya Ramadhan ini bisa menjembatani syeh2 dari Palestina untuk hadir di beberapa Masjid di Pelalawan pada Hari, Waktu dan Tempat yang berbeda..... [URL]",Joy
gatau anjg kesal,Anger
"Orang orang bilang sih yaelah jalanin aja gausah dibawa tegang gitu, ya karena orang itu banyak tipe, berbeda beda, gue tau tipe diri gue ini seperti apa. Orangnya gampang setres maksimal. Jadiiii, mendingan kita cegah dari pada mengobati. Usaha aja doloe",Anger
Dan beres nih. Aku cari kan siapa tau jatuh tapi da ga mungkin karena ga ada gedebuk jatohnya gitu kan. Aku cari cari cari. Ga ada. Pedahal aku tuh posisi ngga pindah pindah. Depan kaca aja udah. Hhhh. Why sih. Kesal,Anger
"[USERNAME] Pas cerita ke pak puh (bapak sepuh/masnya bapak) yg emg bisa liat, beliau langsung ikut ke kosan, pas diliat ternyata emang 'ada'. Nongkrongnya di depan gudang:( tp ga bilang wujudnya gmn hmm",Sad
rasanya tuh enak banget kalo di gadoin apalagi kalo habis dr posyandu gitu suka dikasih terus gadoin bareng sama temen2,Joy
"hai, apa kabar ? ak harap km baik baik saja disana",Neutral
"happy anniversary 15 bulan ya sayang, semoga Allah SWT mengasih kita rezeki yg banyak biar kita bisa cepat naik ke pelaminan & menjadi keluarga sakinah mawadah warohmah ",Love
"[USERNAME] [USERNAME] Dan lebih tenang, lebih berani tahan bola, akhirnya lfc punya dm sepadan dengan fernandinhonya city, matic nya mu, kantenya chelsea, siap bersaing dah ini musim depan.",Joy
"Belom abis rasa parno gw, nyokap malah bilang coba kamu cek a, tikusnya udah mati atau belum? ANJAY MAKIN HOROR :(",Fear
Congratulation [USERNAME] semoga dilancarkan dan dapat kesempatan memandang orang orang di panggung [USERNAME] Break a leg!!! [URL],Joy
Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dpet pangkat yg tinggi. Kurang paham juga tentang pangkat2an di TNI. Pokonya sudah hidup bekecukupan.,Joy
ahahhah iya masama bayangin aja udah beli trus kaget karena belakangnya ga nyatu trus menangisi itu semua,Fear
", salam, melv. semangat skripsiannya, lu sekarang skripsiannya buat diri lu sendiri aja cukup kalau orang tua gak nganggep apa-apa mah. tapi masih dikasih uang jajan kan?,",Joy
"Rasa takut akan kematian adalah yang paling dibenarkan dari semua ketakutan, karena tidak ada risiko kecelakaan bagi seseorang yang sudah mati.",Fear
"pesan saya kepada orang ahli agama atau ulama sekalipun,.berdirilah dijalur ilmu yg tegas dan benar jgn abu-abu sebab mereka para partai yg hanya butuh kalian disaat mereka butuh dukungan suara,.sifat yg demikian itu adalah munafik dan licik",Neutral
"cewe emg suka ngeliat cowo ganteng, tp di hatinya ttp cuma km yg dia sayang.",Love
"dan nangis lgi pass prilly marah ke mama papanya, ngeluapin semuanya, aku nangis lgi, yg di kehidupan prilly itu semua related",Sad
"ut! katanya ut kuliah setiap sabtu minggu ya? (kalo ut jogja gimana?) aku sudah milih layanan ttm wajib 3 matkul, apa aku mundur saja ya trus daftar semester depan? aku sudah registrasi tapi belum bayar, aku khawatir nanti tabrakan sama jadwal kerjaku yang juga setiap hari (cont)",Neutral
"Cinta pandangan hati adalah anugerah. Cinta yang tumbuh dari hati meninggalkan rasa sayang yang sangat mendalam. Bila seseorang dapat merasakan cinta yang tumbuh dari hati, itulah yang disebut cinta sejati.",Love
heizou b5?? padahal udah bgarep bangey dia b4 sedih bnaegt,Sad
"Nah, td kebelulan setorannya ke bpd rumah sakit karna trauma kejadian di bpd cabang. tp ternyata ketemunya itu satpam kurang ajar. udh ngeper duluan takut ingin ku berlari saja rasanya.",Fear
"Mencoba romantis,biar dikata lg ldr tapi..... Anjir naik motor 17 jam tak henti2 dengan kecepatan brpa dahh wkwkwk 17 jam itu sama saja seperti bolakbalik rumah-unj sebanyak 8kali tanpa istirahat [URL]",Sad
[USERNAME] gua kan suka godain someone tapi dianya malu malu mau wkwk lagi nawarin makanan ke seisi kelas terus dia bilang 'suapin dong katanya lo sayang sama gua' yaudah w shock tapi seneng haha,Joy
"heh salah upload, malu",Fear
my! baru bangun terus buka hp dan dapat kabar kayak gini. seneng banget ya ampun,Joy
"Itu namanya fitnah mbak, g ada bukti ko fitnah org lain korupsi.. Ingat mbk dunia ini berlaku sistem tabur tuai, mgkin anda menutupi keburukan anda dg memfitnah org lain.. Saya tau smua kok korupsi n pekerjaan terselubung anda..",Anger
semangat 45,Neutral
Mau nonton tp deg2an takut ga sama kaya imajinasi waktu baca ini,Fear
sini berobat sama saya ini ngantri dokter saja sudah kek mau ngantri sembako panjang bener~,Anger
"Salah seorang teman bertanya, sakit mana dengan sakit hati? Jika sy dapatkan rasa sakit yg sama saat patah hati dengan rasa sakit saat mendapat tindakan dokter, yakinlah sy tak hanya mengatakan ""iya"" saat dia minta maaf. Mungkin akan ada pelajaran buat ia pahami ""sakit"" itu apa",Sad
aakk ini bagus banget sumpahh aku suka banget sama penyelesaian konfliknya di buku terakhir,Love
"Pelit amat siiihh padahal TA ku karo TA mu kan bedo, lagian kowe yowes pendadaran, nek kowe jaluk TA ku yo langsung tak wenehi  didepan pembimbing sok jadi pahlawan yang bantuin aku, tp kenyataan NOL! gituin aja terus yhaaaa. Astagfirullah hal aziem. Sabar :)",Anger
marah mulu perasaan,Anger
"banyak juga boleh kak, asal jgn kelepasan, ngeri gk ke rem, loss pula lagi.",Fear
harus bahagia,Neutral
"Ustad [USERNAME] saya ingin bertanya, Apakah mereka ini ustad yang mengajari? Saya jadi curiga, karena saya ulang2 video ini tapi tetep ngakak",Joy
"was2, ketar-ketir, deg2an karena: takut ditolak telat meeting kerjaan blm kelar lupa beli apaan pas disuruh emak beli sesuatu",Fear
"Dulu sahur, buka, semua udah disiapin sama ibuk sama kakak2. Susu udah siap. Sekarang udah gantian, aku ngurusin anak2 kakak :"") Kuterharu, waktu terus berjalan ya :""""""""",Joy
bikin gue emosi aj,Anger
"Masih di spam nihh sama Indosat [USERNAME] , padahal ku sudah melakukan segala nasehat yg dianjurkan mimin2 yg membalas twit sambatku ini Terhitung sudah 20 sms sejak jam 11 tadi. Pacarku aja ga posesif gini lhoo",Anger
"Semalem pake baff, kaos tangan, sepatu lengkap kayak mau riding dan duduk didepan kasir, habis sahur lg nungguin temen bayar dikasir, biar selese bayar bisa langsung cabut, eh dikira ojol yg lg nunggu orderan sama yg punya warung, ntaps mas",Sad
Alhamdulillah pengalaman baru bersama teman-teman peminatan Psikometri Terima kasih [USERNAME] puspendikbalitbang atas kepercayaannya kepada kami.,Joy
Mau jalan kaki diluar kosan tapi takut kena jambret karena mau nenteng kamera dan handphone.... alhasil gabut dalem kamar sendirian dengan laptop dan kue basah pemberian kamar tetangga. #baladaanakdaerah,Fear
"pernah, pas ngomong sama twice, aku bilang temen ku suka sama exo ke nayeon, goblog banget anjing, exo mah ke grup exo ya bukan ke twice, mana nayeon mangut mangut kayak bangga",Anger
"[USERNAME] Iya bener kak. Waktu setahun skip minum obat itu, dia ikut saran keluarganya ke pengobatan alternatif (dukun). Makanya malah tambah parah. Dan pas balik ke RS Jiwa untuk berobat lagi, baru ketahuan kalau dia kena skizo",Sad
"yakin aja, setiap datang pasti akan pergi, dan begitupun sebaliknya. Pasti ada gantinya, ya mungkin harus dari nol lagi, ngajarin lagi. Ya itu lah proses, mau bisa ya harus belajar.",Joy
sahabat adalah mereka yg tahu bahwa ada sedih di matamu ketika seluruh dunia percaya dengan senyum di wajahmu.,Neutral
jangan sekali-sekali memasuki wilayah apapun sembarang termasuk yang belum tahu sekalipun. karena kita tidak tahu ada apa saja didalamnya,Neutral
"'Liv, jgn lupa ingetin gue ya kalo gue ngeluh mulu.' 'Liv, jgn lupa ingetin gue ya kalo positive vibe gue di dunia nyata dah mulai jarang' Apalagi ya",Fear
ihh takut bgt loch wkwk makasyii,Joy
",, ayok semangat jaga kesehatan maka minum istirahat teratur dan asupan yg bergizi jgn lupa selalu bersyukur dan berdoa setiap saat alhamdulillah aamiin yaa allah yaa rabbal alamin,keren nih pak mentri bumn erick thohir semangat sehat pak,",Joy
Cinta yang Sebenarnya CINTA Adalah.. Ketika Sayyidina Ali karromallahu wajhah tidur menggantikan Rasulullah,Love
yesssssss ga sepi,Joy
"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa",Anger
loh udah berakhir kontraknya ?? sedih bgtt,Sad
"bener banget haha sampe skrg msih suka kebayang2 sendiri, temen2 yg baru nonton aja aku jdi ikutan nonton saking gamonnya",Joy
"Sehari ini coba transfer dari atm BBRI ke a/c BRI dan BBMR lha kok gagal semua, ATM BRI kok telo dan memalukan ya,katanya punya satelit tapi memalukan banget [USERNAME] [USERNAME] , gimana ini penjelasan nya?",Anger
"[USERNAME] [USERNAME] [USERNAME] Dan lebihnya speak up itu dikatain lebay, cari sensasi dsb Mereka ga mikir, kalo mau speak up itu butuh keberanian, karna sebenernya pelecehan itu aib tp kalo ga speak up itu orang jg ga bakal jera, ga ngerasa mal",Anger
jenis takut penyapu tuu,Neutral
si ceweknya tuh bajunya terbuka. trus dadanya gede gitu. jadi ya gitu deh. tapi sejujurnya ceritanya lucu kok. cowoknya polos banget soalnya tapi kalo gak suka fanservice ya rada kagak nyaman sih makin kesini makin makin soalnya,Love
karena dia punya keinginan/niatan kuat. iya kan? dia pengen bales dendam ke cheong san:(,Neutral
aa sedih,Sad
"barusan nonton ini, sedih ngeliat il-rak jadinya dia beneran anaknya si ha so itu? atau salah sangka doang?",Sad
anjing nih eps 3 sedih banget bangsat gue nangis ampe idung mampet,Sad
itu lengkong bego,Anger
Selamat buat produser RaamPunjabi n MVP yg telah kembali memproduksi film Box Office. Semoga berkelanjutan dg film2 berikutnya [URL],Joy
"suka banget sama mie goreng ayam bawang, maknyuss",Love
"When sexual harrassment jadi hot topoc di semua medsos. Diawali sm yucub opini mba gitasav, skandal gitasav yang rame ampe accoun twitter doi dideactive, dan diakhiri mbak Via Vallen yang blow up chat doi sam sam bule. Masih ga sold out thinking sama orang yang ngomong :",Anger
"Sampe rumah, di lantai 2 deket tangga kecium bau pandan yang nyengat banget. Padahal gk ada apa2 disana. Makanan atau pandan gak ada :( terus gue takut...",Fear
"Untungnya ada kedua orang tua dan orang di sekitar yang sayang, menyadarkan saya. bahwa patah hati tak boleh membuatmu tak menyelesaikan skripsi. Hidup harus terus berlanjut. Jangan terlalu berharap dg genggaman satu orang, sedang kau sebenarnya sudah mendapatkan banyak pelukan.",Sad
"itu kalau marah sama orang ngga bisa lama- lama, abis bangun tidur juga marahnya hilang.^^",Neutral
saja bro. its real..,Neutral
"Paling excited kalo ngobrol sama orang kreatif, siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa aku baru kepikiran?""  ",Joy
"[USERNAME] Pas cerita ke pak puh (bapak sepuh/masnya bapak) yg emg bisa liat, beliau langsung ikut ke kosan, pas diliat ternyata emang 'ada'. Nongkrongnya di depan gudang:( tp ga bilang wujudnya gmn hmm",Sad
"Kerja kantoran di Malang itu rejeki. Jadi seksi sibuk utk temen-temen yg mudik ke Malang, setaun ga mesti bs pulang sekali itu rejeki. Rejeki yg susah dinilai pake nominal gaji segede apapun.. Alhamdulillah.",Joy
"Pengen cerita dari kemaren gak sempet. Beberapa hari yg lalu tarawih di masjid gak konsen banget posisi lagi apes. Gimana gak, posisi solat di shaf depan ada mas2 pake sarung trus sarung nya nyeplak pantatnya pas banget, ketat. Kampret, pen ngakak tp lagi solat. Syit.",Joy
"seperti biasa ya, pagi2 mules",Neutral
"Mencintaimu setulus hati, mengarungi lautan untuk mendapatkan cinta suci. Tak akan pernah menduakanmu walaupun terpisah jarak dan perbedaan.",Love
yang paling babi dalam pergolakan politik & pentadbiran di malaysia ni adalah geng mahiaddin & azmin. babi segala punca. marah betul bila ingat balik.,Neutral
"kukira kau rumah itu yg bipolarnya cewe. gak tau juga tingkat berapa. cewe itu depresinya lebih tinggi, makanya lebih susah ngontrol emosi",Neutral
"ngga si kak, tp baru sampe rumah jam 8 pagi kyinya fix ngantuk bgt gak kuat melek td kirain 10 malem gt wkwk mino km benci aku ya",Fear
"Ini yang kami sebut KEBAHAGIAAN Member SJ mungkin sering berubah karna tugas mereka untuk negara, tetapi aku tidak bisa menyembunyikan kegembiraanku. Tahun depan kami menyelesaikan perjalanan panjang kami mengirim oppa kami utk mendaftar wajib militer #ReturnOfTheLittlePrince [URL]",Joy
"kasihan banget ya kamu ketemu cowok kayak aku gini.udah ga ganteng,suka curiga,sama cemburu lagi ahaha",Sad
"segitu hepi nyaa yah bs ketemu pacarnyanyi2 an gajelas di mobil trs gandengan tangan, duh gt aja udh hepi mah aku ngga kerasa udh 4.5 taun aja",Joy
"Setiap mendengar Lucas berbahasa Korea, kumerasa tak sendiri... tp at least dia mah paham orang ngomong apah, cmn gak bs ngebalikin... nah gue?! Serius kagak ngartik",Sad
[USERNAME] JORR macet total! Dari Pintu Tol Pasar Minggu sampai Jati Asih udah hampir 3 jam! Banyak asongan di tengah jalan. Truk di jalur paling kanan. Bayar tol buat apa ya?!  [URL],Anger
"Cemburu melihat dia tengah bahagia dan membahagiakan kekasihnya, itu rasa yang salah. Kamu cukup paham, beberapa perasaan terpaksa harus kau sudahi sendiri",Sad
inituh yg ad member dari indo nya gak sihh sedih bgt,Sad
"Kagak sih, kan tiap kali ku ada tugas atau ujian yangbeb selalu ada... Soalny kalo ga ada siapa yg bisa ditanya2.. dia mah kayak wikipedia berjalan, semua-mua tau.. aku mah apa atuh ",Joy
"#MobileLegendsBangBangID Main di BRAWL langsung saja ""CHANG'E"" memimpin top kill dengan MVP sekaligus emang ini Hero GGWP, Hero baru di normal server ini top lah lebih top soalnya Hero Mage adalah role kesukaan saya selain Hero Tank. Sukanya di skill-2 nya itu loh.. Buff lagi deh [URL]",Joy
"[USERNAME] [USERNAME] Kontol kamu terlihat jelek dan mengkerut dr jawaban twittermu, pasti kamu di real life ga pernah ada yg mau diajak ngewe ya. Keliatan. Mas kalo dapet dm gini kesel dan marah gak? Kalo kesel brrt senasib sm mba valen.",Anger
tapi seneng sih punya temen kayak gini lucu. suka banget ngerjain orang sekitar. tiba tiba gak ada kabar dan tiba tiba ilang dari goa terima kasih orang baik,Neutral
Foto bareng di pernikahan teman bareng pakboss juga ngeliat si mas makin kurus dan kelihatan sdg sakit. Selang 2 bln chat dia perihal kerjaan and he said lagi sakit dan dirawat di rs. ?,Sad
"Namun kuakui jika tebakan Pak Seno dan Ibu Tuti pagi itu betul terkait keikhlasan kami. Kami belum ikhlas. ""Coba kalian pikirkan, apa yg kalian abaikan dari sikap kalian yg belum juga ikhlas ini?"" Kami diam.",Sad
"sebucin itukah aku? itu karena aku tulus sayang sm kamu maaf ini emg fakeworld, tp soal perasaan it's a real. sayang ya sayang, seneng ya seneng, sedih ya sedih. coba gimana caranya main di fakewolrd ini, tanpa pake perasaan yg real",Love
"tolong adain fitur unsend, gua malu bngt jancok !!!!",Anger
"Gua baru sadar, hampir di setiap panti punya kucing liar yg selalu di rawat atau di ajak main sama anak2 panti. Dan gua juga baru sadar ternyata itu bentuk ungkapan kasih sayang anak2 panti terhadap sesama.",Love
"Ditinggal my partner mudik, fight sendirian terus jadinya tiap malem. Tp Alhamdulillah ada aja yg bantuin, gooks.. Maksi bet brother, free kopi dulu yak.",Joy
Fisik? Apa itu yg kalian cari? Apa Kalo lu mati ditanya seberapa ganteng lu atau seberapa ganteng muka pacar lu? #menyedihkan sekali nasib anda,Anger
hbs nonton hole live suara courtney stabil bgt kalo kelakuannya normal mungkin gwe ud ngestan,Neutral
Happy anniversary 2nd.. Semoga Allah SWT senantiasa melindungi dan menjaga kita dalam menempuh setiap langkah kehidupan. Dan lekas diberi kepercayaan tuk,Joy
"[USERNAME] [USERNAME] di bulan Ramadhan yabg suci ini, alangkah baiknya menyejukkan suasana dan bukan memancing orang lain untuk berbicara (text) buruk dan berdebat tentang politik yang duniawi semata. Mari [USERNAME], saling koreksi diri.",Sad
"unexpected ending, sedih banget pas adegan kena tembak didepan ceweknya lagi --""",Sad
"lagi sedih, meong ku meninggal :(",Sad
"Ternyata aku msh terjebak di ujian yg sama, ujian merindukanmu yg bukan siapa2. Kerinduan yg menguji karena tak bisa bertindak apa2. Perlu kau tau, dlm hal ini (yg ku maksud kamu) cukup menguras hati",Sad
"nontoon, suka bangt tapi eps sedikit banget trus ji tae kenapa mati",Love
"ganti provider aja, micha [USERNAME]. daripada kamu gundul komplain tapi nggak ditanggepin. its loss, not yours. [USERNAME] [USERNAME]",Anger
"Cowo yg berpenghasilan kecil tapi usaha sendiri itu JAUH lebih patut di sukai, di hargai, dari yg berpenghasilan besar tapi lewat belakang.",Anger
"Dengan berbeda suku, dan agama marilah kita jaga persatuan persaudaraan kita jangan sampai adanya pemilihan presiden dan bupati kita terpecah belah. Jangan sampai karena itu kita tidak saling menyapa. Kita harus tetap bersatu padu,-- [USERNAME] --",Joy
bo** tuh apa ya?? boring? bodoh?,Neutral
Banyak orang yg berjuang tuk menggapai cita2 itu bener2 netesin darah+keringat. Tpi ada juga org yg sudah di sediain karpet merah masih menyia nyiakan kesempatan.. Kadang gw suka kesel dan pengen gw toyor org yg bgitu..,Anger
semangat kak ica,Joy
stretching biasa yg gw lakuin tuh child pose dan cobra pose dan biasa in 8 detik.,Neutral
[USERNAME] [USERNAME] [USERNAME] Apakah bisa di anggap saudara jika mreka akan membubarkan acara ustadz yg akan memberikan tausiah ilmu kpd kami???mikir dikit napa??,Anger
Padahal engga sampai 24 jam Allah udah kasih jawaban atas masalahku. Aku saja yang terlalu buru-buru berburuk sangka. Astagfirullahalazim maafin dian ya Allah :(,Sad
"Karena cinta pahit berubah menjadi manis,karena cinta tembaga berubah menjadi emas.Karena cinta ampas berubah jd sari murni,karena cinta pedih menjadi obat.",Love
"emosi dri kmrn ga ilang""",Anger
"yang biasanya pendiem banget, kalo tiba-tiba oversharing itu kadang suka ngga kekontrol, terus akhirnya nyesel udah cerita jadinya takutan",Fear
"makanya anjir gue emosi, kesel banget nontonnyaa",Anger
"aku suka begadang, aku suka kopi, aku suka malam. tapi kesukaan terbesarku itu kamu",Love
[USERNAME] saya rasa pantas anda dicemooh oleh orang banyak karena kalau anda mau dihargai maka hargai pembalap lain terutama yang sudah jauh lebih senior dari anda,Anger
rommy dibui selama satu tahun dan denda rp100 jutaa ,Neutral
saat ini kamu sedang lelah sedih hingga kecewa karena setiap hal yang kamu perjuangkan tidak pernah sesuai harapan.,Sad
atuh kristen jahat lo mah mampus mah ke neraka lo am laki lo penipuan aja korup bangga najisssin bgt lo sialan .gw nikah sm duda tajir mapan ga [URL] undang lo catat liat aja .gw dendem sm kata2 lo sepupu iblis cln penghuni neraka,Anger
"Hari ini aku bangun tidur, pas bangun buka ig, lihat story. Ternyata storyku penuh dengan acara wisuda teman2 SMA aku. Rasanya rasa jebret, rasax trauma lihat instastory.",Sad
dia mau marah pun lucu banget tapi jika masuk teel orang lain aq maloe,Fear
"jangan sedih bro, gw juga suka gagal penalty",Neutral
"[USERNAME] Sebelumnya aku ga tertarik sama cowo yg lebih muda, tapi pacarku skrng lebih muda setahun dibanding aku. Udah tau sih dari awal tapi ya gimana ya namanya udah sayang. Semua yg gasuka bisa jadi suka.",Love
"congrats kak fik, tuh tak kasih congrats biar ga sepi sepu amat",Neutral
"[USERNAME] Pengen banget icip icip dikit soal pasar modal. Tapi masih belum berani, efek ilmunya blm banyak kali ya. Takut malah jatohnya jadi ""donasi"" bukan ""investasi"" hahaha",Fear
mau bgt,Joy
"Waaaaa pengen tapi tapi tapi ""ga guna"" (ga di pakai gitu sekarang mah) (@ Starbucks in Jakarta Barat, DKI Jakarta) ",Sad
"Soal zonasi memang kontroversi Tapi sampai bikin SKTM pdhl mampu dan bahkan punya mobil, sudah keterlaluan. Terbayang jika SKTM itu jadi sebentuk doa dan disegerakan. Selain, tentu sj pembelajaran buruk buat anak sendiri, ttg arti kejujuran",Anger
"Menjadi tempat berkeluh kesah, teman cerita, teman makan. Bahkan sering lontaran ""kak ayok makan"" yang aku rindukan saat jauh dan harus menunggu waktu liburan untuk kembali jumpa menumpahkan rindu #HonorIndonesia",Sad
